Sex,Age,Height,Weight,Team,Season,Sport,Event,ponderal_index,mass_index,surface_area,lean_body_mass,basal_metabolic_rate,estimated_energy_requirements
M,24,183,75.0,Ghana,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,12.237930830235912,22.395413419331717,1.9658229487461962,60.18599999999999,1851.299,3186.758
M,28,183,75.0,Ghana,Summer,Athletics,Athletics Men's 200 metres,12.237930830235912,22.395413419331717,1.9658229487461962,60.18599999999999,1824.299,3148.638
M,28,183,75.0,Ghana,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,12.237930830235912,22.395413419331717,1.9658229487461962,60.18599999999999,1824.299,3148.638
M,32,183,75.0,Ghana,Summer,Athletics,Athletics Men's 200 metres,12.237930830235912,22.395413419331717,1.9658229487461962,60.18599999999999,1797.299,3110.518
M,32,183,75.0,Ghana,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,12.237930830235912,22.395413419331717,1.9658229487461962,60.18599999999999,1797.299,3110.518
M,27,181,66.0,Nigeria,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,11.130334360303426,20.1459051921492,1.8470959796870097,55.989000000000004,1697.2930000000001,2935.4548
M,24,186,77.0,Nigeria,Summer,Athletics,Athletics Men's 110 metres Hurdles,11.966079738225687,22.25690831309978,2.0115080104927436,61.801,1893.808,3250.0396
M,22,177,70.0,France,Summer,Athletics,Athletics Men's 400 metres Hurdles,12.62345513705195,22.34351559258195,1.8634322556783458,56.54899999999999,1766.031,3055.708
M,26,177,70.0,France,Summer,Athletics,Athletics Men's 400 metres Hurdles,12.62345513705195,22.34351559258195,1.8634322556783458,56.54899999999999,1739.031,3017.588
M,19,186,78.0,Nigeria,Summer,Athletics,Athletics Men's 100 metres,12.121483371189656,22.54595907041276,2.022569316009264,62.208,1941.308,3321.2364
M,19,186,78.0,Nigeria,Summer,Athletics,Athletics Men's 200 metres,12.121483371189656,22.54595907041276,2.022569316009264,62.208,1941.308,3321.2364
M,19,186,78.0,Nigeria,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,12.121483371189656,22.54595907041276,2.022569316009264,62.208,1941.308,3321.2364
M,22,186,78.0,Nigeria,Summer,Athletics,Athletics Men's 100 metres,12.121483371189656,22.54595907041276,2.022569316009264,62.208,1921.058,3292.6464
M,22,186,78.0,Nigeria,Summer,Athletics,Athletics Men's 200 metres,12.121483371189656,22.54595907041276,2.022569316009264,62.208,1921.058,3292.6464
M,22,186,78.0,Nigeria,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,12.121483371189656,22.54595907041276,2.022569316009264,62.208,1921.058,3292.6464
M,26,186,78.0,Nigeria,Summer,Athletics,Athletics Men's 100 metres,12.121483371189656,22.54595907041276,2.022569316009264,62.208,1894.058,3254.5263999999997
M,24,162,65.0,Nigeria,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,15.288620938166229,24.76756591982929,1.6933739938783627,50.509,1608.7359999999999,2837.974
M,28,162,65.0,Nigeria,Summer,Athletics,Athletics Men's 100 metres,15.288620938166229,24.76756591982929,1.6933739938783627,50.509,1581.7359999999999,2799.8540000000003
M,28,162,65.0,Nigeria,Summer,Athletics,Athletics Men's 200 metres,15.288620938166229,24.76756591982929,1.6933739938783627,50.509,1581.7359999999999,2799.8540000000003
M,28,162,65.0,Nigeria,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,15.288620938166229,24.76756591982929,1.6933739938783627,50.509,1581.7359999999999,2799.8540000000003
M,21,185,63.0,Nigeria,Summer,Athletics,Athletics Men's 100 metres,9.950052316743331,18.407596785975162,1.8398633156999435,55.836,1716.555,2943.5784000000003
M,21,185,63.0,Nigeria,Summer,Athletics,Athletics Men's 200 metres,9.950052316743331,18.407596785975162,1.8398633156999435,55.836,1716.555,2943.5784000000003
M,21,185,63.0,Nigeria,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,9.950052316743331,18.407596785975162,1.8398633156999435,55.836,1716.555,2943.5784000000003
M,26,188,80.0,United States,Summer,Athletics,Athletics Men's 400 metres Hurdles,12.039721449004558,22.634676324128566,2.060364264931289,63.556,1931.5640000000003,3312.412
M,20,173,61.0,Uganda,Summer,Athletics,Athletics Men's 400 metres,11.781254170515695,20.381569714992146,1.7286812771665965,51.818,1635.769,2841.2628000000004
M,20,173,61.0,Uganda,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,11.781254170515695,20.381569714992146,1.7286812771665965,51.818,1635.769,2841.2628000000004
M,24,168,59.0,Palau,Summer,Athletics,Athletics Men's 100 metres,12.442973221034448,20.904195011337873,1.6685055586766804,49.669,1556.254,2729.0692
M,20,170,69.0,Ghana,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,14.044372074089154,23.87543252595156,1.798674821220423,54.272999999999996,1730.76,3013.4492
