Sex,Age,Height,Weight,Team,Season,Sport,Event
M,26.0,160.0,51.0,Saudi Arabia,Summer,Athletics,Athletics Men's 400 metres Hurdles
M,21.0,188.0,75.0,Kuwait,Summer,Athletics,Athletics Men's 400 metres Hurdles
M,25.0,188.0,75.0,Kuwait,Summer,Athletics,Athletics Men's 400 metres Hurdles
M,21.0,175.0,65.0,Palestine,Summer,Athletics,Athletics Men's 400 metres
M,23.0,168.0,52.0,Kuwait,Summer,Athletics,Athletics Men's 4 x 400 metres Relay
M,18.0,165.0,60.0,Oman,Summer,Athletics,Athletics Men's 400 metres
M,18.0,165.0,60.0,Oman,Summer,Athletics,Athletics Men's 4 x 400 metres Relay
M,18.0,177.0,68.0,Saudi Arabia,Summer,Athletics,Athletics Men's 400 metres Hurdles
M,24.0,171.0,70.0,Jordan,Summer,Athletics,Athletics Men's 100 metres
M,28.0,171.0,70.0,Jordan,Summer,Athletics,Athletics Men's 200 metres
M,25.0,178.0,72.0,Kuwait,Summer,Athletics,Athletics Men's 4 x 400 metres Relay
M,24.0,173.0,67.0,Oman,Summer,Athletics,Athletics Men's 100 metres
M,28.0,173.0,67.0,Oman,Summer,Athletics,Athletics Men's 100 metres
M,19.0,170.0,60.0,Oman,Summer,Athletics,Athletics Men's 200 metres
M,19.0,170.0,60.0,Oman,Summer,Athletics,Athletics Men's 4 x 400 metres Relay
M,23.0,172.0,69.0,Oman,Summer,Athletics,Athletics Men's 200 metres
M,28.0,172.0,69.0,Oman,Summer,Athletics,Athletics Men's 200 metres
M,28.0,172.0,69.0,Oman,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,18.0,178.0,68.0,Qatar,Summer,Athletics,Athletics Men's 4 x 400 metres Relay
M,24.0,175.0,62.0,Saudi Arabia,Summer,Athletics,Athletics Men's 100 metres
M,24.0,175.0,62.0,Saudi Arabia,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,30.0,170.0,66.0,Oman,Summer,Athletics,Athletics Men's 100 metres
M,30.0,170.0,66.0,Oman,Summer,Athletics,Athletics Men's 200 metres
M,30.0,170.0,66.0,Oman,Summer,Athletics,Athletics Men's 4 x 400 metres Relay
M,34.0,170.0,66.0,Oman,Summer,Athletics,Athletics Men's 200 metres
M,18.0,175.0,68.0,Yemen,Summer,Athletics,Athletics Men's 400 metres
M,24.0,183.0,76.0,Qatar,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,28.0,183.0,76.0,Qatar,Summer,Athletics,Athletics Men's 200 metres
M,21.0,176.0,62.0,Oman,Summer,Athletics,Athletics Men's 400 metres
M,21.0,176.0,62.0,Oman,Summer,Athletics,Athletics Men's 4 x 400 metres Relay
M,25.0,176.0,62.0,Oman,Summer,Athletics,Athletics Men's 400 metres
M,25.0,176.0,62.0,Oman,Summer,Athletics,Athletics Men's 4 x 400 metres Relay
M,29.0,176.0,62.0,Oman,Summer,Athletics,Athletics Men's 400 metres
M,17.0,173.0,65.0,Saudi Arabia,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,26.0,164.0,60.0,Oman,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,19.0,170.0,62.0,Oman,Summer,Athletics,Athletics Men's 100 metres
M,18.0,165.0,65.0,Kuwait,Summer,Athletics,Athletics Men's 100 metres
M,22.0,170.0,72.0,United Arab Emirates,Summer,Athletics,Athletics Men's 200 metres
M,20.0,192.0,77.0,Qatar,Summer,Athletics,Athletics Men's Long Jump
M,24.0,192.0,77.0,Qatar,Summer,Athletics,Athletics Men's Long Jump
M,18.0,185.0,72.0,Qatar,Summer,Athletics,Athletics Men's 400 metres Hurdles
M,18.0,185.0,72.0,Qatar,Summer,Athletics,Athletics Men's 4 x 400 metres Relay
M,22.0,185.0,72.0,Qatar,Summer,Athletics,Athletics Men's 4 x 400 metres Relay
M,23.0,173.0,63.0,Saudi Arabia,Summer,Athletics,Athletics Men's 400 metres
M,21.0,174.0,66.0,Kuwait,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,20.0,187.0,85.0,Saudi Arabia,Summer,Athletics,Athletics Men's Long Jump
M,28.0,187.0,85.0,Saudi Arabia,Summer,Athletics,Athletics Men's Long Jump
M,24.0,175.0,70.0,Saudi Arabia,Summer,Athletics,Athletics Men's 100 metres
M,28.0,175.0,70.0,Saudi Arabia,Summer,Athletics,Athletics Men's 100 metres
M,28.0,175.0,70.0,Saudi Arabia,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,18.0,170.0,67.0,United Arab Emirates,Summer,Athletics,Athletics Men's 200 metres
M,17.0,170.0,70.0,Saudi Arabia,Summer,Athletics,Athletics Men's 4 x 400 metres Relay
M,21.0,165.0,59.0,Saudi Arabia,Summer,Athletics,Athletics Men's 100 metres
M,21.0,165.0,59.0,Saudi Arabia,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,35.0,182.0,76.0,Kuwait,Summer,Athletics,Athletics Men's 110 metres Hurdles
M,21.0,185.0,65.0,Kuwait,Summer,Athletics,Athletics Men's 400 metres
M,21.0,185.0,65.0,Kuwait,Summer,Athletics,Athletics Men's 4 x 400 metres Relay
M,25.0,185.0,65.0,Kuwait,Summer,Athletics,Athletics Men's 400 metres
M,23.0,186.0,68.0,Saudi Arabia,Summer,Athletics,Athletics Men's 4 x 400 metres Relay
